Start Year,End Year,AvAge,GP,W,L,T,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Win %,Loss %,OT %,SO %,PTS/Game
2021 , 2022,28.2,82,41,32,0.0,9.0,91,0.555,255,255,,,,,,,49.0,237.0,20.61,49,237.0,79.39,7.0,7,8.9,8.9,2593.0,9.8,2593.0,0.902,4,0.5,0.3902439024390244,0.10975609756097561,4.878048780487805,1.1097560975609757
2020 , 2021,28.1,56,28,22,0.0,6.0,62,0.556,162,162,,,,,,,32.0,162.0,19.78,32,162.0,80.22,4.0,4,8.1,8.1,1678.0,9.7,1678.0,0.903,4,0.5,0.39285714285714285,0.10714285714285714,7.142857142857142,1.1071428571428572
2019 , 2020,27.9,70,35,27,0.0,8.0,78,0.558,208,208,,,,,,,42.0,208.0,20.03,42,208.0,79.97,6.0,6,8.3,8.3,2192.0,9.5,2192.0,0.905,4,0.5,0.38571428571428573,0.11428571428571428,5.714285714285714,1.1142857142857143
2018 , 2019,27.9,82,41,32,0.0,9.0,91,0.553,244,244,,,,,,,47.0,239.0,19.78,47,239.0,80.22,8.0,8,8.3,8.3,2579.0,9.5,2579.0,0.905,5,0.5,0.3902439024390244,0.10975609756097561,6.097560975609756,1.1097560975609757
2017 , 2018,28.0,82,41,31,0.0,10.0,92,0.558,240,240,,,,,,,50.0,250.0,20.18,50,250.0,79.82,7.0,7,8.6,8.6,2620.0,9.2,2620.0,0.908,5,0.5,0.3780487804878049,0.12195121951219512,6.097560975609756,1.1219512195121952
2016 , 2017,28.0,82,41,31,0.0,10.0,92,0.559,223,223,,,,,,,47.0,245.0,19.1,47,245.0,80.9,6.0,6,9.2,9.2,2478.0,9.0,2478.0,0.91,5,0.5,0.3780487804878049,0.12195121951219512,6.097560975609756,1.1219512195121952
2015 , 2016,28.0,82,41,32,0.0,9.0,91,0.556,219,219,,,,,,,48.0,255.0,18.66,48,255.0,81.34,6.0,6,9.7,9.7,2438.0,9.0,2438.0,0.91,5,0.5,0.3902439024390244,0.10975609756097561,6.097560975609756,1.1097560975609757
2014 , 2015,28.2,82,41,31,0.0,10.0,92,0.562,218,218,,,,,,,47.0,251.0,18.66,47,251.0,81.34,6.0,6,9.7,9.7,2453.0,8.9,2453.0,0.911,6,0.5,0.3780487804878049,0.12195121951219512,7.317073170731707,1.1219512195121952
2013 , 2014,27.5,82,41,31,0.0,10.0,92,0.562,219,219,,,,,,,48.0,269.0,17.89,48,269.0,82.11,7.0,7,10.9,10.9,2463.0,8.9,2463.0,0.911,5,0.5,0.3780487804878049,0.12195121951219512,6.097560975609756,1.1219512195121952
2012 , 2013,27.6,48,24,19,0.0,5.0,53,0.556,127,127,,,,,,,29.0,160.0,18.22,29,160.0,81.78,3.0,3,11.6,11.6,1399.0,9.1,1399.0,0.909,4,0.5,0.3958333333333333,0.10416666666666667,8.333333333333332,1.1041666666666667
2011 , 2012,27.7,82,41,31,0.0,10.0,92,0.561,218,218,,,,,,,47.0,271.0,17.31,47,271.0,82.69,6.0,6,11.2,11.2,2439.0,8.9,2439.0,0.911,6,0.5,0.3780487804878049,0.12195121951219512,7.317073170731707,1.1219512195121952
2010 , 2011,27.5,82,41,31,0.0,10.0,92,0.56,224,224,,,,,,,52.0,291.0,18.02,52,291.0,81.98,7.0,7,12.2,12.2,2492.0,9.0,2492.0,0.91,6,0.5,0.3780487804878049,0.12195121951219512,7.317073170731707,1.1219512195121952
2009 , 2010,27.9,82,41,31,0.0,10.0,92,0.561,227,227,,,,,,,56.0,304.0,18.23,56,304.0,81.77,6.0,6,12.8,12.8,2486.0,9.1,2486.0,0.909,5,0.5,0.3780487804878049,0.12195121951219512,6.097560975609756,1.1219512195121952
2008 , 2009,27.9,82,41,32,0.0,9.0,91,0.557,234,234,,,,,,,65.0,341.0,18.95,65,341.0,81.05,8.0,8,13.9,13.9,2477.0,9.4,2477.0,0.906,5,0.5,0.3902439024390244,0.10975609756097561,6.097560975609756,1.1097560975609757
2007 , 2008,28.2,82,41,32,0.0,9.0,91,0.555,223,223,,,,,,,62.0,351.0,17.75,62,351.0,82.25,8.0,8,14.0,14.0,2383.0,9.4,2383.0,0.906,5,0.5,0.3902439024390244,0.10975609756097561,6.097560975609756,1.1097560975609757
2006 , 2007,28.3,82,41,32,0.0,9.0,91,0.557,236,236,,,,,,,70.0,398.0,17.58,70,398.0,82.42,9.0,9,14.1,14.1,2426.0,9.7,2427.0,0.903,5,0.5,0.3902439024390244,0.10975609756097561,6.097560975609756,1.1097560975609757
2005 , 2006,28.3,82,41,32,0.0,9.0,91,0.557,248,248,,,,,,,85.0,480.0,17.68,85,480.0,82.32,11.0,11,15.8,15.8,2458.0,10.1,2458.0,0.899,4,0.5,0.3902439024390244,0.10975609756097561,4.878048780487805,1.1097560975609757
2003 , 2004,28.0,82,35,31,11.0,5.0,87,0.529,211,211,,,,,,,57.0,348.0,16.46,57,348.0,83.54,8.0,8,14.6,14.6,2300.0,9.2,2300.0,0.908,6,0.4268292682926829,0.3780487804878049,0.1951219512195122,7.317073170731707,1.0609756097560976
2002 , 2003,28.1,82,36,31,10.0,5.0,87,0.532,218,218,,,,,,,60.0,363.0,16.43,60,363.0,83.57,8.0,8,14.3,14.3,2326.0,9.4,2326.0,0.906,6,0.43902439024390244,0.3780487804878049,0.18292682926829268,7.317073170731707,1.0609756097560976
2001 , 2002,28.0,82,36,32,10.0,4.0,86,0.525,215,215,,,,,,,53.0,338.0,15.77,53,338.0,84.23,7.0,7,15.0,15.0,2262.0,9.5,2262.0,0.905,6,0.43902439024390244,0.3902439024390244,0.17073170731707318,7.317073170731707,1.048780487804878
2000 , 2001,27.8,82,36,32,10.0,4.0,86,0.525,226,226,,,,,,,63.0,376.0,16.64,63,376.0,83.36,9.0,9,15.0,15.0,2272.0,9.9,2272.0,0.901,6,0.43902439024390244,0.3902439024390244,0.17073170731707318,7.317073170731707,1.048780487804878
1999 , 2000,27.7,82,36,32,10.0,4.0,86,0.525,225,225,,,,,,,53.0,331.0,16.15,53,331.0,83.85,8.0,8,13.9,13.9,2294.0,9.8,2294.0,0.902,5,0.43902439024390244,0.3902439024390244,0.17073170731707318,6.097560975609756,1.048780487804878
1998 , 1999,27.7,82,35,35,12.0,0.0,82,0.5,216,216,,,,,,,57.0,359.0,15.81,57,359.0,84.19,8.0,8,15.9,15.9,2285.0,9.4,2285.0,0.906,6,0.4268292682926829,0.4268292682926829,0.14634146341463414,7.317073170731707,1.0
